YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS EL,ASOCIACION DE PRODUCTORES CAFETALEROS EL,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,60847.6,13.8
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS EL,ASOCIACION DE PRODUCTORES CAFETALEROS EL,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,133066,28.29
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS EL,ASOCIACION DE PRODUCTORES CAFETALEROS EL,UNITED STATES,UNITED STATES,Coffee equivalents,66171.13,11.73
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS EL,ASOCIACION DE PRODUCTORES CAFETALEROS EL,UNITED STATES,UNITED STATES,Coffee equivalents,232421.8,57.201
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,DENMARK,EUROPEAN UNION,Coffee equivalents,86706,20.7
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,GERMANY,EUROPEAN UNION,Coffee equivalents,260118,62.1
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,GERMANY,EUROPEAN UNION,Coffee equivalents,582412.24,153.4975
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,GERMANY,EUROPEAN UNION,Coffee equivalents,796487.52,165.34
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,SPAIN,EUROPEAN UNION,Coffee equivalents,222586.6,56.994
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,UNITED STATES,UNITED STATES,Coffee equivalents,630369.6,154.56
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,UNITED STATES,UNITED STATES,Coffee equivalents,418773.6,77.28
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,UNITED STATES,UNITED STATES,Coffee equivalents,83546.4,19.32
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,UNITED STATES,UNITED STATES,Coffee equivalents,285373.2,77.28
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,UNITED STATES,UNITED STATES,Coffee equivalents,150596.52,40.02
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS FR,ASOCIACION DE PRODUCTORES CAFETALEROS FR,UNITED STATES,UNITED STATES,Coffee equivalents,81078.88,21.39
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,BELGIUM,EUROPEAN UNION,Coffee equivalents,69366.61,19.6651
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,BELGIUM,EUROPEAN UNION,Coffee equivalents,56945.62,18.975
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,DENMARK,EUROPEAN UNION,Coffee equivalents,48051,19.665
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,GERMANY,EUROPEAN UNION,Coffee equivalents,95446.93,20.7
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,GERMANY,EUROPEAN UNION,Coffee equivalents,180476.99,58.305
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,SWEDEN,EUROPEAN UNION,Coffee equivalents,221561.19,62.07
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,29206.98,6.9
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,UNITED STATES,UNITED STATES,Coffee equivalents,21905.24,5.175
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,ASOCIACION DE PRODUCTORES CAFETALEROS NO,UNITED STATES,UNITED STATES,Coffee equivalents,178182.91,56.925
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,CANADA,CANADA,Coffee equivalents,86081.65,19.32
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,CANADA,CANADA,Coffee equivalents,80927.7,19.32
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,GERMANY,EUROPEAN UNION,Coffee equivalents,89962.13,18.975
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,GERMANY,EUROPEAN UNION,Coffee equivalents,312180.71,80.98479
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,SWEDEN,EUROPEAN UNION,Coffee equivalents,477087.34,124.39
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,400158.81,78.66
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,UNITED STATES,UNITED STATES,Coffee equivalents,973327.24,238.464
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,UNITED STATES,UNITED STATES,Coffee equivalents,1305675.93,248.124
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS SE,ASOCIACION DE PRODUCTORES CAFETALEROS SE,UNITED STATES,UNITED STATES,Coffee equivalents,754703.28,177.33
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFE FRUTOS,ASOCIACION DE PRODUCTORES DE CAFE FRUTOS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,79482.7,18.975
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,326601.12,77.96365
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,665980.25,170.7751
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,986454.33,324.30058
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,200328.4,75.9002
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Coffee equivalents,344532.61,94.185
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Coffee equivalents,344910.35,93.05812
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Coffee equivalents,845232.47,245.68421
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Coffee equivalents,943316.4,265.7757
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Coffee equivalents,1668973.46,588.1261
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Coffee equivalents,1212927.2,436.4257
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,FRANCE,EUROPEAN UNION,Coffee equivalents,110925,41.4
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,49823.02,18.975
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,206255.4,51.2671
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,SPAIN,EUROPEAN UNION,Coffee equivalents,111818.4,37.95
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,1092889.06,265.995
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,2132005.89,398.40949
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,1660791.51,398.8908
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,526271.54,113.7123
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,527054.57,168.7051
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,ASOCIACION DE PRODUCTORES DE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,309354.3,94.8753
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,AUSTRALIA,AUSTRALIA,Coffee equivalents,86175.39,18.975
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,AUSTRALIA,AUSTRALIA,Coffee equivalents,20231.82,4.83
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,BELGIUM,EUROPEAN UNION,Coffee equivalents,88051.77,19.665
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,BELGIUM,EUROPEAN UNION,Coffee equivalents,60695.6,19.665
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,CANADA,CANADA,Coffee equivalents,59630.63,19.32
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,CANADA,CANADA,Coffee equivalents,59630.6,19.32
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,GERMANY,EUROPEAN UNION,Coffee equivalents,880674.96,226.585
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,GERMANY,EUROPEAN UNION,Coffee equivalents,692174.67,134.55
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,GERMANY,EUROPEAN UNION,Coffee equivalents,77203.78,20.61
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,GERMANY,EUROPEAN UNION,Coffee equivalents,34105.1,8.832
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,85500,20.7
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,365120.42,76.59
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,117131.6,37.95
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED STATES,UNITED STATES,Coffee equivalents,404636.4,96.6
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED STATES,UNITED STATES,Coffee equivalents,454186.56,80.723
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED STATES,UNITED STATES,Coffee equivalents,252109.77,57.96
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED STATES,UNITED STATES,Coffee equivalents,215365.38,57.96
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED STATES,UNITED STATES,Coffee equivalents,240651.34,67.62
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES ECOLOGICOS A,ASOCIACION DE PRODUCTORES ECOLOGICOS A,UNITED STATES,UNITED STATES,Coffee equivalents,230308,72.45
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES ORGANICOS DEL,ASOCIACION DE PRODUCTORES ORGANICOS DEL,UNITED STATES,UNITED STATES,Coffee equivalents,345004,81.42
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES ORGANICOS DEL,ASOCIACION DE PRODUCTORES ORGANICOS DEL,UNITED STATES,UNITED STATES,Coffee equivalents,663595.6,119.297
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES ORGANICOS DEL,ASOCIACION DE PRODUCTORES ORGANICOS DEL,UNITED STATES,UNITED STATES,Coffee equivalents,252919.76,57.96
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES ORGANICOS DEL,ASOCIACION DE PRODUCTORES ORGANICOS DEL,UNITED STATES,UNITED STATES,Coffee equivalents,149102.1,38.64
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,GERMANY,EUROPEAN UNION,Coffee equivalents,227128.68,41.36
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,GERMANY,EUROPEAN UNION,Coffee equivalents,260124.48,62.05
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,GERMANY,EUROPEAN UNION,Coffee equivalents,450992.97,103.5
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,MEXICO,MEXICO,Coffee equivalents,72256.81,17.25
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,MEXICO,MEXICO,Coffee equivalents,106484.26,34.5
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,SWEDEN,EUROPEAN UNION,Coffee equivalents,606831.46,144.87
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,UNITED STATES,UNITED STATES,Coffee equivalents,72256.81,17.25
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,UNITED STATES,UNITED STATES,Coffee equivalents,395943.76,82.8
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,UNITED STATES,UNITED STATES,Coffee equivalents,738462.23,172.5
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,UNITED STATES,UNITED STATES,Coffee equivalents,919615.2,210.45
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,ASOCIACION DE PRODUCTORES PALTO CAFE AMA,UNITED STATES,UNITED STATES,Coffee equivalents,338467.46,103.5
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES Y EXPORTADORES,ASOCIACION DE PRODUCTORES Y EXPORTADORES,SWEDEN,EUROPEAN UNION,Coffee equivalents,236358,63.066
2018,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,CANADA,CANADA,Coffee equivalents,119261.2,38.64
2016,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,MEXICO,MEXICO,Coffee equivalents,77689.63,19.32
2013,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,UNITED STATES,UNITED STATES,Coffee equivalents,324516.95,77.625
2014,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,UNITED STATES,UNITED STATES,Coffee equivalents,400515.51,77.625
2015,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,UNITED STATES,UNITED STATES,Coffee equivalents,244482.53,55.89
2016,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,UNITED STATES,UNITED STATES,Coffee equivalents,223018.08,57.96
2017,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,UNITED STATES,UNITED STATES,Coffee equivalents,523897.67,154.56
2018,PERU,PAITA,ASOCIACION DISTRITAL AGROPECUARIA,ASOCIACION DISTRITAL AGROPECUARIA,UNITED STATES,UNITED STATES,Coffee equivalents,306671.7,96.6
2014,PERU,PAITA,ASOCIACION DISTRITAL DE PRODUCTORES AGRO,ASOCIACION DISTRITAL DE PRODUCTORES AGRO,CANADA,CANADA,Coffee equivalents,200002.18,37.95
2015,PERU,PAITA,ASOCIACION DISTRITAL DE PRODUCTORES AGRO,ASOCIACION DISTRITAL DE PRODUCTORES AGRO,CANADA,CANADA,Coffee equivalents,85401.48,18.975
2016,PERU,PAITA,ASOCIACION NACIONAL COCOCHANA DE CAFICUL,ASOCIACION NACIONAL COCOCHANA DE CAFICUL,UNITED STATES,UNITED STATES,Coffee equivalents,48488.45,10.35
2017,PERU,PAITA,ASOCIACION NACIONAL COCOCHANA DE CAFICUL,ASOCIACION NACIONAL COCOCHANA DE CAFICUL,UNITED STATES,UNITED STATES,Coffee equivalents,213067.2,52.86569
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,AUSTRALIA,AUSTRALIA,Coffee equivalents,260960.73,75.9
2018,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,AUSTRALIA,AUSTRALIA,Coffee equivalents,298150,96.992
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,BELGIUM,EUROPEAN UNION,Coffee equivalents,258558.5,79.00481
2017,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,BELGIUM,EUROPEAN UNION,Coffee equivalents,393743.04,126.408
2014,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,CANADA,CANADA,Coffee equivalents,80734.5,18.975
2015,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,CANADA,CANADA,Coffee equivalents,158969.58,37.95
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,CANADA,CANADA,Coffee equivalents,399920.74,94.875
2017,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,CANADA,CANADA,Coffee equivalents,435795.29,113.85
2018,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,CANADA,CANADA,Coffee equivalents,470551.5,151.8
2013,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,FRANCE,EUROPEAN UNION,Coffee equivalents,92426.53,19.32
2013,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,GERMANY,EUROPEAN UNION,Coffee equivalents,693648,165.6
2014,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,GERMANY,EUROPEAN UNION,Coffee equivalents,399987,103.09
2015,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,GERMANY,EUROPEAN UNION,Coffee equivalents,328117.22,100.06
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,GERMANY,EUROPEAN UNION,Coffee equivalents,128476.17,37.95
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,JAPAN,JAPAN,Coffee equivalents,51834,17.25
2017,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,MEXICO,MEXICO,Coffee equivalents,157722.19,37.95
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,149717.75,37.95
2017,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,175701.68,56.925
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,79482.7,18.975
2017,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,146415.5,37.95
2018,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,58565.8,18.975
2013,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED STATES,UNITED STATES,Coffee equivalents,246611.4,57.96
2014,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED STATES,UNITED STATES,Coffee equivalents,365093.59,76.5896
2015,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED STATES,UNITED STATES,Coffee equivalents,607618.11,148.69481
2016,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED STATES,UNITED STATES,Coffee equivalents,911835.36,224.24923
2017,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED STATES,UNITED STATES,Coffee equivalents,1783354.56,564.075
2018,PERU,PAITA,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,ASOCIACION PROVINCIAL DE PRODUCTORES ECO,UNITED STATES,UNITED STATES,Coffee equivalents,2199890.6,717.6
2016,PERU,PAITA,ASOCIACION VALLE GRANDE,ASOCIACION VALLE GRANDE,AUSTRALIA,AUSTRALIA,Coffee equivalents,58566.01,18.975
2015,PERU,PAITA,ASOCIACION VALLE GRANDE,ASOCIACION VALLE GRANDE,GERMANY,EUROPEAN UNION,Coffee equivalents,79771.2,19.665
2015,PERU,PAITA,ASOCIACION VALLE GRANDE,ASOCIACION VALLE GRANDE,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,73701.72,19.665
2016,PERU,PAITA,ASOCIACION VALLE GRANDE,ASOCIACION VALLE GRANDE,UNITED STATES,UNITED STATES,Coffee equivalents,58566.01,18.975
2018,PERU,PAITA,ASOCIACION VALLE GRANDE,ASOCIACION VALLE GRANDE,UNITED STATES,UNITED STATES,Coffee equivalents,208767.2,75.8998
2013,PERU,PAITA,ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,AUSTRALIA,AUSTRALIA,Coffee equivalents,79481.34,18.975
2014,PERU,PAITA,ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,AUSTRALIA,AUSTRALIA,Coffee equivalents,98305.87,18.975
2015,PERU,PAITA,ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,AUSTRALIA,AUSTRALIA,Coffee equivalents,574775.61,132.825
