YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2015,PERU,PUERTO DEL CALLAO,FUNDO SAN CRISPIN S A C,FUNDO SAN CRISPIN S A C,UNITED STATES,UNITED STATES,Coffee equivalents,59400,15.042
2016,PERU,PUERTO DEL CALLAO,FUNDO SAN CRISPIN S A C,FUNDO SAN CRISPIN S A C,UNITED STATES,UNITED STATES,Coffee equivalents,114300,23.736
2017,PERU,PUERTO DEL CALLAO,FUNDO SAN CRISPIN S A C,FUNDO SAN CRISPIN S A C,UNITED STATES,UNITED STATES,Coffee equivalents,83850,18.975
2018,PERU,PUERTO DEL CALLAO,FUNDO SAN CRISPIN S A C,FUNDO SAN CRISPIN S A C,UNITED STATES,UNITED STATES,Coffee equivalents,83814.8,19.412
2018,PERU,PUERTO DEL CALLAO,GAMBIT LOGISTICS SOCIEDAD ANONIMA CERRAD,GAMBIT LOGISTICS SOCIEDAD ANONIMA CERRAD,UNITED STATES,UNITED STATES,Coffee equivalents,0.49,0.005775
2014,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,COLOMBIA,COLOMBIA,Coffee equivalents,88970,10.90715
2014,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,COSTA RICA,COSTA RICA,Coffee equivalents,13500,1.5585
2014,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Coffee equivalents,2400.78,0.5
2015,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Coffee equivalents,582,0.1750125
2013,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,ECUADOR,ECUADOR,Coffee equivalents,34800,1.9323
2014,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,EL SALVADOR,EL SALVADOR,Coffee equivalents,72480,16.11625
2015,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,EL SALVADOR,EL SALVADOR,Coffee equivalents,57002,18.92875
2016,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,EL SALVADOR,EL SALVADOR,Coffee equivalents,3000,1
2017,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,EL SALVADOR,EL SALVADOR,Coffee equivalents,12412.5,4.833275
2018,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,EL SALVADOR,EL SALVADOR,Coffee equivalents,1530,1.25
2014,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,PUERTO RICO,PUERTO RICO,Coffee equivalents,7217.36,1.6092375
2013,PERU,PUERTO DEL CALLAO,GANOLIFESAC,GANOLIFESAC,UNITED STATES,UNITED STATES,Coffee equivalents,11520,1.2369
2013,PERU,PUERTO DEL CALLAO,GEHRMANN MICK VDA DE LIPP TRAUDEL GRETE,GEHRMANN MICK VDA DE LIPP TRAUDEL GRETE,AUSTRALIA,AUSTRALIA,Coffee equivalents,1020,0.125
2015,PERU,PUERTO DEL CALLAO,GEHRMANN MICK VDA DE LIPP TRAUDEL GRETE,GEHRMANN MICK VDA DE LIPP TRAUDEL GRETE,CHILE,CHILE,Coffee equivalents,819.84,0.075
2016,PERU,PUERTO DEL CALLAO,GERALD  CAMILA EXPORT E I R L,GERALD  CAMILA EXPORT E I R L,UNITED STATES,UNITED STATES,Coffee equivalents,2280,0.95615
2015,PERU,PUERTO DEL CALLAO,GLINT S A C,GLINT S A C,TAIWAN,TAIWAN,Coffee equivalents,15500,3.047175
2016,PERU,PUERTO DEL CALLAO,GLINT S A C,GLINT S A C,TAIWAN,TAIWAN,Coffee equivalents,7141.5,1.98375
2018,PERU,PUERTO DEL CALLAO,GLINT S A C,GLINT S A C,TAIWAN,TAIWAN,Coffee equivalents,13566,2.53731
2017,PERU,PUERTO DEL CALLAO,GOLDEN FRESH PERU S A C,GOLDEN FRESH PERU S A C,CHINA (MAINLAND),CHINA (MAINLAND),Coffee equivalents,15525,3.88125
